month,provider,resource_id,service,environment,owner_team,region,monthly_cost_gbp,cpu_avg_pct,memory_avg_pct,uptime_pct,storage_util_pct,monthly_requests,tag_compliant,reserved_coverage_pct,cost_anomaly
2026-01,AWS,RES-00030,S3,UAT,Data,eu-west-1,46.33,,,52.0,29.3,1474.0,1,,0
2026-01,AWS,RES-00031,RDS,UAT,Platform,us-east-1,226.92,,,43.8,,,1,11.4,0
2026-01,AWS,RES-00032,NAT Gateway,Prod,Security,eu-west-1,235.67,,,98.2,,,1,,1
2026-01,Azure,RES-00033,Managed Disks,Prod,Applications,UK South,78.03,,,67.0,70.4,,1,,0
2026-01,Azure,RES-00034,Managed Disks,UAT,Security,East US,30.17,,,92.0,11.8,,1,,0
2026-01,Azure,RES-00035,SQL Database,Dev,Security,UK South,689.45,,,69.0,,,0,83.8,1
2026-01,AWS,RES-00036,S3,Prod,Platform,us-east-1,163.88,,,50.5,42.1,3238.0,1,,0
2026-01,Azure,RES-00037,Load Balancer,Dev,Applications,UK South,79.13,,,65.0,,436.0,1,,0
2026-01,Azure,RES-00038,SQL Database,Prod,Platform,East US,275.18,,,35.1,,,1,33.1,0
2026-01,Azure,RES-00039,SQL Database,Prod,Security,UK South,282.34,,,74.8,,,1,34.8,0
2026-01,Azure,RES-00040,Virtual Machines,UAT,Cloud Ops,UK South,305.66,17.9,72.5,84.2,,,1,17.5,0
2026-01,AWS,RES-00041,EBS,Prod,Platform,eu-west-2,28.24,,,93.6,19.5,,1,,0
2026-01,AWS,RES-00042,S3,Prod,Cloud Ops,eu-west-2,64.39,,,65.5,30.8,618.0,1,,0
2026-01,AWS,RES-00043,S3,Dev,Cloud Ops,us-east-1,46.4,,,52.3,31.0,1254.0,1,,0
2026-01,Azure,RES-00044,Load Balancer,Prod,Data,West Europe,109.56,,,48.3,,559.0,1,,0
2026-01,AWS,RES-00045,EBS,Prod,Applications,us-east-1,117.36,,,56.4,28.3,,1,,0
2026-01,Azure,RES-00046,Virtual Machines,Prod,Security,West Europe,199.8,50.4,30.8,29.4,,,1,89.4,0
2026-01,Azure,RES-00047,Blob Storage,Prod,Security,East US,35.2,,,42.5,50.2,3130.0,1,,0
2026-01,Azure,RES-00048,SQL Database,Prod,Data,East US,196.45,,,85.0,,,1,98.1,0
2026-01,AWS,RES-00049,EC2,Prod,Applications,eu-west-1,242.97,12.4,44.7,57.4,,,1,20.1,0
2026-01,AWS,RES-00050,RDS,Prod,Data,eu-west-1,443.18,,,59.1,,,1,45.8,0
2026-01,AWS,RES-00051,EC2,Dev,Security,eu-west-2,147.26,9.8,10.1,72.0,,,1,4.9,0
2026-01,Azure,RES-00052,Virtual Machines,Dev,Cloud Ops,East US,105.62,33.4,10.6,82.7,,,0,75.9,0
2026-01,Azure,RES-00053,Blob Storage,Prod,Platform,West Europe,59.65,,,76.6,84.9,1413.0,1,,0
2026-01,Azure,RES-00054,Load Balancer,UAT,Data,East US,67.37,,,46.5,,171.0,1,,0
2026-01,Azure,RES-00055,Virtual Machines,Prod,Data,East US,498.57,11.7,18.8,95.1,,,1,10.0,1
2026-01,AWS,RES-00056,EC2,Prod,Security,eu-west-2,85.93,19.8,34.8,16.2,,,1,35.1,0
2026-01,Azure,RES-00057,Managed Disks,Prod,Data,West Europe,76.34,,,62.5,11.9,,1,,0
2026-01,AWS,RES-00058,S3,Prod,Cloud Ops,eu-west-2,43.16,,,84.8,18.8,1145.0,1,,0
2026-01,AWS,RES-00059,Load Balancer,UAT,Data,us-east-1,138.06,,,42.8,,2049.0,1,,0
2026-01,Azure,RES-00060,Virtual Machines,Prod,Security,West Europe,288.58,14.5,43.8,61.3,,,1,12.0,0
2026-01,Azure,RES-00061,Managed Disks,Dev,Cloud Ops,East US,82.24,,,31.3,17.4,,1,,0
2026-01,Azure,RES-00062,NAT Gateway,Prod,Applications,UK South,88.07,,,68.0,,,1,,0
2026-01,Azure,RES-00063,SQL Database,Prod,Cloud Ops,East US,566.97,,,58.6,,,1,6.7,0
2026-01,Azure,RES-00064,Blob Storage,Prod,Platform,East US,62.62,,,31.0,54.9,2645.0,1,,0
2026-01,Azure,RES-00065,Virtual Machines,Dev,Data,West Europe,295.82,31.2,33.9,50.4,,,1,52.1,0
2026-01,Azure,RES-00066,Virtual Machines,Prod,Security,West Europe,312.76,45.0,8.5,87.0,,,1,25.0,0
2026-01,Azure,RES-00067,SQL Database,Prod,Cloud Ops,East US,305.43,,,90.1,,,0,26.5,0
2026-01,Azure,RES-00068,NAT Gateway,Dev,Security,East US,54.18,,,92.9,,,1,,0
2026-01,Azure,RES-00069,Blob Storage,Prod,Applications,West Europe,174.9,,,31.2,15.4,147.0,1,,1
2026-01,Azure,RES-00070,NAT Gateway,Prod,Platform,West Europe,158.06,,,71.2,,,1,,0
2026-01,Azure,RES-00071,Blob Storage,Dev,Platform,West Europe,42.67,,,67.1,57.4,1963.0,1,,0
2026-01,Azure,RES-00072,Virtual Machines,Dev,Data,East US,218.28,39.4,54.7,89.6,,,1,3.8,0
2026-01,Azure,RES-00073,Load Balancer,Dev,Applications,UK South,45.52,,,89.6,,644.0,1,,0
2026-01,AWS,RES-00074,Load Balancer,UAT,Data,eu-west-1,98.64,,,53.0,,519.0,1,,0
2026-01,AWS,RES-00075,Load Balancer,Dev,Cloud Ops,us-east-1,165.09,,,93.5,,4026.0,1,,0
2026-01,Azure,RES-00076,SQL Database,Prod,Applications,West Europe,203.23,,,89.3,,,1,80.0,0
2026-01,AWS,RES-00077,EBS,Prod,Cloud Ops,eu-west-2,40.16,,,91.6,53.3,,1,,0
2026-01,Azure,RES-00078,Load Balancer,UAT,Data,UK South,51.61,,,91.3,,217.0,1,,0
2026-01,AWS,RES-00079,Load Balancer,Dev,Security,eu-west-2,85.97,,,83.3,,3662.0,1,,0
2026-01,AWS,RES-00080,EC2,Prod,Security,eu-west-2,281.6,21.9,54.6,77.2,,,1,75.7,1
2026-01,AWS,RES-00081,EBS,Dev,Data,eu-west-1,51.57,,,87.8,39.2,,1,,0
2026-01,AWS,RES-00082,RDS,Prod,Data,us-east-1,98.17,,,70.2,,,1,28.4,0
2026-01,AWS,RES-00083,EC2,Prod,Data,eu-west-2,335.51,9.7,41.2,62.0,,,1,60.5,0
2026-01,Azure,RES-00084,Virtual Machines,UAT,Data,East US,386.84,38.9,29.7,21.4,,,0,60.5,0
2026-01,AWS,RES-00085,EC2,Prod,Applications,us-east-1,222.71,64.9,44.0,22.0,,,1,21.1,0
2026-01,Azure,RES-00086,Managed Disks,Prod,Security,East US,81.11,,,98.8,16.7,,1,,0
2026-01,Azure,RES-00087,Virtual Machines,UAT,Applications,East US,308.76,24.7,46.6,78.1,,,1,29.9,0
2026-01,Azure,RES-00088,Virtual Machines,Prod,Platform,East US,261.03,30.5,81.7,72.8,,,1,15.0,0
2026-01,Azure,RES-00089,SQL Database,Prod,Security,East US,691.53,,,79.2,,,0,26.2,0
2026-01,AWS,RES-00090,EC2,Prod,Applications,us-east-1,298.31,46.7,56.1,60.2,,,0,6.7,0
2026-01,Azure,RES-00091,Virtual Machines,UAT,Cloud Ops,East US,162.8,20.3,42.7,26.3,,,1,80.8,0
2026-01,AWS,RES-00092,Load Balancer,Dev,Applications,us-east-1,172.81,,,86.9,,362.0,1,,0
2026-01,Azure,RES-00093,SQL Database,Dev,Applications,West Europe,542.14,,,37.2,,,1,43.3,0
2026-01,AWS,RES-00094,S3,Prod,Applications,us-east-1,61.55,,,69.5,62.6,3911.0,1,,0
2026-01,Azure,RES-00095,Virtual Machines,Prod,Security,UK South,392.9,15.5,24.6,85.8,,,1,31.3,0
2026-01,Azure,RES-00096,Managed Disks,UAT,Applications,East US,74.16,,,71.1,51.8,,1,,0
2026-01,AWS,RES-00097,Load Balancer,Prod,Security,eu-west-1,90.78,,,88.1,,299.0,1,,0
2026-01,AWS,RES-00098,EBS,Prod,Data,eu-west-1,50.33,,,94.2,28.5,,1,,0
2026-01,Azure,RES-00099,Virtual Machines,UAT,Applications,West Europe,95.32,17.0,52.5,41.2,,,1,73.6,0
2026-01,AWS,RES-00100,EC2,UAT,Data,eu-west-2,134.52,19.6,88.0,65.7,,,1,46.5,0
2026-01,AWS,RES-00101,EBS,Dev,Applications,us-east-1,72.14,,,36.3,36.8,,1,,0
2026-01,AWS,RES-00102,Load Balancer,UAT,Applications,us-east-1,160.69,,,62.0,,2813.0,1,,0
2026-01,Azure,RES-00103,Blob Storage,Prod,Security,West Europe,47.62,,,85.7,68.9,548.0,1,,0
2026-01,Azure,RES-00104,Virtual Machines,Dev,Data,East US,70.07,14.1,76.7,38.5,,,1,65.9,0
2026-01,Azure,RES-00105,Blob Storage,Prod,Platform,East US,24.42,,,31.1,60.5,2560.0,1,,0
2026-01,AWS,RES-00106,S3,Prod,Platform,eu-west-1,26.81,,,72.5,19.3,495.0,0,,1
2026-01,AWS,RES-00107,EBS,Prod,Applications,us-east-1,78.03,,,32.6,65.7,,1,,0
2026-01,AWS,RES-00108,EBS,Dev,Security,eu-west-2,91.55,,,98.8,32.1,,1,,0
2026-01,Azure,RES-00109,Managed Disks,Dev,Cloud Ops,UK South,61.65,,,47.2,54.5,,1,,0
2026-01,Azure,RES-00110,Load Balancer,UAT,Applications,West Europe,117.93,,,63.0,,1422.0,1,,1
2026-01,AWS,RES-00111,EBS,Prod,Data,eu-west-2,66.43,,,67.5,78.6,,1,,0
2026-01,AWS,RES-00112,EBS,Prod,Security,us-east-1,89.56,,,78.7,3.8,,1,,0
2026-01,Azure,RES-00113,NAT Gateway,Dev,Security,West Europe,75.14,,,63.7,,,1,,0
2026-01,Azure,RES-00114,SQL Database,Prod,Data,West Europe,529.04,,,81.7,,,1,96.2,0
2026-01,Azure,RES-00115,Load Balancer,Prod,Platform,East US,138.65,,,93.8,,430.0,0,,0
2026-01,Azure,RES-00116,Virtual Machines,Prod,Platform,East US,311.59,50.7,66.7,52.4,,,1,50.3,0
2026-01,AWS,RES-00117,RDS,UAT,Security,eu-west-2,421.84,,,31.5,,,1,56.7,0
2026-01,AWS,RES-00118,EC2,Prod,Security,eu-west-2,136.37,43.8,34.6,97.4,,,1,58.5,0
2026-01,AWS,RES-00119,Load Balancer,Prod,Platform,eu-west-1,85.29,,,94.5,,13714.0,1,,0
2026-01,AWS,RES-00120,RDS,Prod,Data,eu-west-2,398.15,,,74.0,,,0,8.3,0
2026-02,Azure,RES-00121,SQL Database,Prod,Security,UK South,439.11,,,40.7,,,1,93.7,0
2026-02,AWS,RES-00122,EC2,Dev,Platform,eu-west-2,72.64,40.6,50.1,72.0,,,1,43.1,0
2026-02,AWS,RES-00123,S3,Prod,Data,us-east-1,33.93,,,37.5,16.7,1309.0,1,,0
2026-02,AWS,RES-00124,NAT Gateway,Prod,Platform,us-east-1,184.53,,,74.5,,,1,,0
2026-02,Azure,RES-00125,SQL Database,Prod,Data,UK South,184.13,,,58.2,,,1,84.1,0
2026-02,AWS,RES-00126,NAT Gateway,UAT,Applications,us-east-1,324.71,,,99.7,,,1,,1
2026-02,AWS,RES-00127,EBS,UAT,Security,us-east-1,152.53,,,68.0,63.2,,1,,0
2026-02,Azure,RES-00128,NAT Gateway,Prod,Cloud Ops,East US,130.64,,,63.2,,,1,,0
2026-02,Azure,RES-00129,Load Balancer,Prod,Security,UK South,95.55,,,42.8,,768.0,1,,0
2026-02,AWS,RES-00130,Load Balancer,UAT,Cloud Ops,us-east-1,45.81,,,65.4,,1270.0,1,,0
2026-02,Azure,RES-00131,SQL Database,Prod,Cloud Ops,UK South,408.8,,,88.3,,,1,83.0,0
2026-02,AWS,RES-00132,EC2,Prod,Data,eu-west-2,541.07,3.9,30.5,82.5,,,1,68.4,0
2026-02,AWS,RES-00133,S3,Prod,Security,us-east-1,16.94,,,93.5,81.6,444.0,0,,0
2026-02,Azure,RES-00134,Blob Storage,Prod,Applications,UK South,48.0,,,64.1,16.7,217.0,1,,0
2026-02,Azure,RES-00135,Blob Storage,Prod,Platform,West Europe,30.26,,,44.6,17.6,506.0,0,,0
2026-02,AWS,RES-00136,RDS,Prod,Applications,eu-west-1,244.72,,,73.6,,,1,18.6,0
2026-02,AWS,RES-00137,EC2,Prod,Security,eu-west-2,179.71,28.2,36.7,69.5,,,1,61.3,0
2026-02,Azure,RES-00138,SQL Database,Prod,Data,West Europe,481.39,,,74.3,,,1,52.7,0
2026-02,AWS,RES-00139,EC2,Prod,Applications,eu-west-1,504.29,7.7,25.2,53.1,,,0,99.4,0
2026-02,AWS,RES-00140,EC2,UAT,Data,eu-west-1,130.76,51.4,28.9,73.9,,,1,44.2,0
2026-02,Azure,RES-00141,Blob Storage,Dev,Cloud Ops,West Europe,43.99,,,49.7,56.0,579.0,1,,0
2026-02,AWS,RES-00142,NAT Gateway,Prod,Applications,eu-west-2,143.65,,,57.2,,,1,,0
2026-02,AWS,RES-00143,EBS,Dev,Security,eu-west-1,43.14,,,97.1,26.1,,0,,0
2026-02,Azure,RES-00144,Managed Disks,Prod,Platform,UK South,38.71,,,79.2,27.2,,1,,0
2026-02,AWS,RES-00145,RDS,Prod,Security,us-east-1,721.16,,,42.7,,,1,57.9,1
2026-02,Azure,RES-00146,NAT Gateway,Dev,Platform,UK South,118.75,,,30.7,,,1,,0
2026-02,Azure,RES-00147,SQL Database,UAT,Security,UK South,513.21,,,55.5,,,1,5.4,0
2026-02,AWS,RES-00148,EC2,Prod,Security,us-east-1,78.87,61.7,58.5,76.7,,,1,78.6,0
2026-02,AWS,RES-00149,NAT Gateway,Dev,Data,eu-west-1,143.9,,,53.1,,,1,,0
2026-02,AWS,RES-00150,EC2,Prod,Cloud Ops,eu-west-1,297.35,48.9,18.9,26.4,,,1,57.5,0
2026-02,AWS,RES-00151,EC2,Dev,Cloud Ops,eu-west-1,298.48,37.4,55.5,37.2,,,1,84.0,0
2026-02,Azure,RES-00152,SQL Database,Dev,Platform,UK South,363.49,,,37.7,,,1,34.8,0
2026-02,Azure,RES-00153,Virtual Machines,Dev,Cloud Ops,East US,166.1,3.2,60.3,82.6,,,1,55.6,1
2026-02,AWS,RES-00154,EC2,Prod,Applications,eu-west-1,161.54,5.4,13.1,17.0,,,0,69.8,0
2026-02,AWS,RES-00155,EC2,Prod,Cloud Ops,eu-west-2,190.37,3.9,14.2,81.5,,,1,46.4,0
2026-02,AWS,RES-00156,S3,UAT,Applications,eu-west-1,45.04,,,59.0,2.7,369.0,0,,0
2026-02,AWS,RES-00157,RDS,Prod,Security,eu-west-1,199.98,,,65.0,,,1,55.5,0
2026-02,Azure,RES-00158,SQL Database,Prod,Platform,West Europe,563.56,,,46.0,,,1,73.5,0
2026-02,Azure,RES-00159,SQL Database,UAT,Applications,West Europe,1174.42,,,48.2,,,1,38.2,1
2026-02,AWS,RES-00160,EBS,Dev,Cloud Ops,us-east-1,221.6,,,58.4,47.7,,1,,1
2026-02,Azure,RES-00161,Load Balancer,Prod,Platform,West Europe,93.66,,,47.8,,714.0,1,,0
2026-02,AWS,RES-00162,Load Balancer,UAT,Cloud Ops,eu-west-1,58.97,,,86.9,,4261.0,1,,0
2026-02,AWS,RES-00163,EC2,Dev,Applications,us-east-1,286.77,61.4,21.8,87.7,,,1,28.3,0
2026-02,AWS,RES-00164,EC2,Prod,Platform,eu-west-1,180.34,17.1,20.6,81.9,,,1,86.7,0
2026-02,AWS,RES-00165,Load Balancer,Dev,Applications,eu-west-2,30.99,,,40.9,,1396.0,1,,0
2026-02,Azure,RES-00166,Virtual Machines,Prod,Applications,UK South,1173.94,46.6,77.5,47.6,,,1,1.6,1
2026-02,AWS,RES-00167,S3,Prod,Applications,us-east-1,93.77,,,52.5,40.7,2950.0,1,,0
2026-02,AWS,RES-00168,Load Balancer,Dev,Security,eu-west-1,113.34,,,30.2,,595.0,0,,0
2026-02,Azure,RES-00169,SQL Database,UAT,Security,UK South,304.05,,,63.1,,,1,90.0,0
2026-02,Azure,RES-00170,Virtual Machines,Dev,Security,West Europe,283.25,38.3,11.2,91.8,,,1,80.2,1
2026-02,AWS,RES-00171,EBS,Prod,Cloud Ops,eu-west-1,62.85,,,73.0,60.8,,1,,0
2026-02,AWS,RES-00172,RDS,Dev,Platform,us-east-1,250.24,,,56.8,,,1,8.0,0
2026-02,AWS,RES-00173,EC2,Prod,Data,eu-west-1,223.51,19.6,42.4,99.1,,,1,48.5,0
2026-02,AWS,RES-00174,EC2,Dev,Cloud Ops,eu-west-1,308.25,28.5,41.0,23.4,,,1,85.3,0
2026-02,Azure,RES-00175,NAT Gateway,Dev,Data,East US,73.6,,,64.6,,,1,,0
2026-02,AWS,RES-00176,S3,Prod,Cloud Ops,us-east-1,41.43,,,47.1,68.3,4539.0,1,,0
2026-02,AWS,RES-00177,NAT Gateway,Prod,Security,eu-west-2,183.22,,,41.5,,,0,,1
2026-02,AWS,RES-00178,Load Balancer,Dev,Platform,eu-west-1,66.57,,,81.1,,777.0,1,,0
2026-02,AWS,RES-00179,EBS,UAT,Platform,eu-west-1,41.07,,,60.5,10.6,,1,,0
2026-02,AWS,RES-00180,NAT Gateway,Prod,Security,eu-west-2,115.23,,,72.3,,,1,,0
2026-02,AWS,RES-00181,S3,Prod,Platform,eu-west-2,21.57,,,64.6,18.0,4341.0,0,,0
2026-02,Azure,RES-00182,SQL Database,Dev,Platform,West Europe,423.27,,,63.6,,,1,42.6,0
2026-02,AWS,RES-00183,EC2,Prod,Data,us-east-1,192.39,2.7,6.3,87.8,,,0,34.3,0
2026-02,AWS,RES-00184,EBS,Prod,Platform,us-east-1,189.03,,,31.8,5.9,,1,,0
2026-02,AWS,RES-00185,EC2,Prod,Cloud Ops,eu-west-2,286.15,21.1,36.2,80.4,,,0,45.4,0
2026-02,AWS,RES-00186,EC2,Prod,Security,us-east-1,187.29,15.4,21.3,67.4,,,1,68.1,0
2026-02,Azure,RES-00187,Virtual Machines,Dev,Cloud Ops,West Europe,136.24,33.9,27.3,70.0,,,0,45.3,0
2026-02,Azure,RES-00188,Blob Storage,Prod,Cloud Ops,West Europe,75.57,,,64.3,73.6,645.0,1,,0
2026-02,AWS,RES-00189,EC2,Prod,Cloud Ops,eu-west-1,137.25,70.9,47.2,91.9,,,1,5.8,0
2026-02,AWS,RES-00190,NAT Gateway,Prod,Data,us-east-1,62.88,,,88.7,,,1,,0
2026-02,AWS,RES-00191,EC2,Prod,Cloud Ops,eu-west-1,120.53,42.8,66.3,76.7,,,1,99.4,0
2026-02,Azure,RES-00192,Managed Disks,Prod,Security,UK South,56.78,,,56.0,37.9,,0,,0
2026-02,Azure,RES-00193,Virtual Machines,Dev,Cloud Ops,West Europe,135.09,27.9,26.5,54.0,,,1,76.1,0
2026-02,AWS,RES-00194,S3,Prod,Platform,us-east-1,64.56,,,44.6,31.6,685.0,1,,0
2026-02,Azure,RES-00195,Virtual Machines,Prod,Data,East US,297.18,1.1,17.5,93.9,,,1,40.7,0
2026-02,Azure,RES-00196,Managed Disks,Prod,Data,East US,80.28,,,74.7,15.4,,1,,0
2026-02,AWS,RES-00197,EC2,Prod,Cloud Ops,eu-west-2,253.46,30.6,46.4,48.6,,,1,45.8,0
2026-02,Azure,RES-00198,SQL Database,Prod,Data,West Europe,293.43,,,60.1,,,1,13.7,0
2026-02,Azure,RES-00199,Virtual Machines,Prod,Applications,UK South,284.72,11.5,13.7,78.3,,,1,70.8,0
2026-02,AWS,RES-00200,RDS,Dev,Cloud Ops,us-east-1,402.0,,,40.0,,,1,9.8,0
2026-02,AWS,RES-00201,EC2,Dev,Platform,eu-west-1,151.76,62.8,28.3,91.5,,,1,33.0,0
2026-02,Azure,RES-00202,Managed Disks,Prod,Cloud Ops,West Europe,62.41,,,35.8,39.1,,1,,0
2026-02,AWS,RES-00203,EC2,Prod,Security,eu-west-2,209.94,1.9,18.6,86.3,,,1,24.6,0
2026-02,Azure,RES-00204,Blob Storage,Prod,Platform,West Europe,100.29,,,35.7,15.0,513.0,1,,0
2026-02,AWS,RES-00205,EC2,UAT,Data,eu-west-1,451.37,70.6,13.8,71.1,,,1,49.0,0
2026-02,Azure,RES-00206,SQL Database,UAT,Security,East US,314.47,,,41.3,,,1,75.7,0
2026-02,Azure,RES-00207,SQL Database,UAT,Applications,East US,657.59,,,73.2,,,1,28.4,0
2026-02,Azure,RES-00208,Virtual Machines,Prod,Applications,West Europe,219.28,6.4,9.3,94.5,,,1,28.4,0
2026-02,Azure,RES-00209,Virtual Machines,Dev,Security,West Europe,129.44,13.7,44.0,75.4,,,1,44.4,0
2026-02,AWS,RES-00210,EC2,Prod,Security,eu-west-1,216.1,10.9,31.9,34.9,,,1,39.2,0
2026-02,AWS,RES-00211,Load Balancer,Prod,Platform,eu-west-2,62.75,,,48.0,,354.0,1,,0
2026-02,Azure,RES-00212,Virtual Machines,UAT,Cloud Ops,West Europe,158.86,27.7,7.8,76.5,,,1,89.8,0
2026-02,AWS,RES-00213,EC2,Prod,Cloud Ops,us-east-1,138.69,5.1,20.0,76.4,,,1,45.1,0
2026-02,AWS,RES-00214,S3,Prod,Security,eu-west-1,145.7,,,45.5,67.7,126.0,1,,0
2026-02,AWS,RES-00215,EC2,UAT,Platform,us-east-1,210.31,26.6,60.4,45.8,,,1,24.2,0
2026-02,AWS,RES-00216,EC2,Prod,Security,us-east-1,168.33,25.2,39.8,89.8,,,0,78.7,0
2026-02,AWS,RES-00217,EC2,Dev,Platform,us-east-1,122.94,2.6,0.9,58.0,,,1,4.1,0
2026-02,Azure,RES-00218,Blob Storage,Prod,Data,East US,39.54,,,88.6,54.8,3089.0,1,,0
2026-02,AWS,RES-00219,EC2,Dev,Cloud Ops,eu-west-1,174.06,9.4,35.9,39.4,,,1,51.4,0
2026-02,AWS,RES-00220,S3,Prod,Platform,eu-west-1,39.8,,,67.7,52.4,1859.0,1,,0
2026-02,AWS,RES-00221,RDS,Prod,Applications,us-east-1,157.91,,,94.1,,,1,39.1,0
2026-02,AWS,RES-00222,EC2,Dev,Data,eu-west-1,285.25,80.6,15.1,28.9,,,1,97.0,0
2026-02,AWS,RES-00223,RDS,Prod,Cloud Ops,eu-west-2,269.14,,,85.1,,,1,26.7,0
2026-02,AWS,RES-00224,EBS,Dev,Platform,us-east-1,68.49,,,45.4,8.3,,1,,0
2026-02,Azure,RES-00225,Virtual Machines,Prod,Data,East US,332.74,40.5,35.9,39.7,,,1,45.6,0
2026-02,Azure,RES-00226,Virtual Machines,Prod,Data,UK South,332.87,17.2,22.4,75.2,,,1,7.3,0
2026-02,Azure,RES-00227,Virtual Machines,Prod,Cloud Ops,West Europe,268.21,35.1,46.1,57.7,,,1,12.3,0
2026-02,AWS,RES-00228,EC2,UAT,Data,eu-west-1,153.51,6.5,5.8,93.5,,,0,52.9,0
2026-02,AWS,RES-00229,RDS,Prod,Platform,eu-west-2,208.39,,,43.9,,,1,8.5,0
2026-02,Azure,RES-00230,Blob Storage,Dev,Applications,West Europe,32.3,,,94.6,34.0,1263.0,1,,0
2026-02,AWS,RES-00231,EBS,UAT,Applications,eu-west-1,50.04,,,73.3,49.2,,1,,0
2026-02,AWS,RES-00232,EC2,Prod,Security,eu-west-1,216.22,47.8,56.6,95.3,,,0,11.8,0
2026-02,Azure,RES-00233,Managed Disks,Prod,Data,UK South,48.34,,,88.5,67.9,,1,,0
2026-02,AWS,RES-00234,S3,Prod,Applications,eu-west-1,107.46,,,91.7,50.6,3992.0,1,,0
2026-02,Azure,RES-00235,SQL Database,UAT,Security,UK South,382.07,,,64.6,,,1,95.6,0
2026-02,AWS,RES-00236,S3,UAT,Data,us-east-1,45.85,,,77.1,53.7,588.0,1,,0
2026-02,AWS,RES-00237,NAT Gateway,UAT,Platform,eu-west-2,81.55,,,64.3,,,1,,0
2026-02,Azure,RES-00238,SQL Database,Prod,Cloud Ops,UK South,537.45,,,63.2,,,1,62.2,0
2026-02,AWS,RES-00239,Load Balancer,Dev,Security,eu-west-1,95.05,,,51.7,,1752.0,1,,1
2026-02,AWS,RES-00240,RDS,Prod,Platform,eu-west-2,349.06,,,59.6,,,1,56.1,0
2026-03,Azure,RES-00241,NAT Gateway,Prod,Applications,East US,157.89,,,66.2,,,1,,0
2026-03,Azure,RES-00242,NAT Gateway,Prod,Applications,West Europe,276.28,,,76.9,,,1,,0
2026-03,AWS,RES-00243,EC2,Prod,Security,eu-west-2,112.43,12.6,74.2,23.9,,,1,3.0,0
